Title,Price,Location,Detail Link
PRIME EAST VILLAGE RETAIL SPACE,4000,East Village,https://newyorkcraigslistorg/mnh/reb/d/new-york-prime-east-village-retail-space/7751328478html
Brand New Prime Restaurant Opportunity,12000,Chelsea,https://newyorkcraigslistorg/mnh/reb/d/new-york-brand-new-prime-restaurant/7753393911html
RETAIL/OFFICE SPACE IN PRIME MURRAY HILL,11000,Murray Hill,https://newyorkcraigslistorg/mnh/reb/d/new-york-retail-office-space-in-prime/7753314338html
CORNER LOWER EAST SIDE RETAIL SPACE AVAILABLE,8000,Lower East Side,https://newyorkcraigslistorg/mnh/reb/d/new-york-corner-lower-east-side-retail/7753316972html
PRIME MIDTOWN RETAIL OPPORTUNITY,15000,Midtown,https://newyorkcraigslistorg/mnh/reb/d/new-york-prime-midtown-retail/7753314554html
NEW TO MARKET PRIME BRONX RETAIL/OFFICE SPACE FOR LEASE,6500,bronx,https://newyorkcraigslistorg/brx/reb/d/bronx-new-to-market-prime-bronx-retail/7751328617html
IDEAL NEW TO MARKERT UWS RESTAURANT,17000,Upper West Side,https://newyorkcraigslistorg/mnh/reb/d/new-york-ideal-new-to-markert-uws/7751328761html
NEW TO MARKET - PRIME EAST VILLAGE RETAIL SPACE AVAILABLE,6500,East Village,https://newyorkcraigslistorg/mnh/reb/d/new-york-new-to-market-prime-east/7753657986html
SOHO RETAIL SPACE AVAILABLE,18750,SoHo,https://newyorkcraigslistorg/mnh/reb/d/new-york-soho-retail-space-available/7751329210html
Prime Hell's Kitchen Retail Space,27500,Midtown West,https://newyorkcraigslistorg/mnh/reb/d/new-york-prime-hells-kitchen-retail/7757759558html
Prime East Village Turn Key Restaurant,27000,East Village,https://newyorkcraigslistorg/mnh/reb/d/new-york-prime-east-village-turn-key/7757762051html
PRIME CHELSEA MEDICAL SPACE FOR LEASE RESTAURANT USE ACCEPTED,23000,Chelsea,https://newyorkcraigslistorg/mnh/reb/d/new-york-prime-chelsea-medical-space/7757765113html
BRAND NEW PRIME EAST VILLAGE RETAIL OPPORTUITY,8000,East Village,https://newyorkcraigslistorg/mnh/reb/d/new-york-brand-new-prime-east-village/7751342393html
NEW TO MARKET - FORMER UPPER WEST SIDE HAIR SALON AVAILABLE,6500,Upper West Side,https://newyorkcraigslistorg/mnh/reb/d/new-york-new-to-market-former-upper/7751376833html
NEW IDEAL CORNER UPPER EAST SIDE RETAIL,25000,Upper East Side,https://newyorkcraigslistorg/mnh/reb/d/new-york-new-ideal-corner-upper-east/7751376653html
CORNER PRIME WILLAIMSBURG RETAIL/OFFICE SPACE FOR LEASE,15000,brooklyn,https://newyorkcraigslistorg/brk/reb/d/brooklyn-corner-prime-willaimsburg/7751377232html
NEW UPPER WEST SIDE RETAIL SPACE ON BROADWAY,6500,Upper West Side,https://newyorkcraigslistorg/mnh/reb/d/new-york-new-upper-west-side-retail/7751376296html
NEWLY AVAILABLE FORMER BAR IN PRIME UNION SQUARE/EAST VILLAGE,22000,Union Square,https://newyorkcraigslistorg/mnh/reb/d/new-york-newly-available-former-bar-in/7753657785html
New Midtown Office Space Available,33000,Midtown,https://newyorkcraigslistorg/mnh/reb/d/new-york-new-midtown-office-space/7753657900html
